-,# name,ra,dec,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,discovered
planet,OGLE-2008-BLG-092L A b,266.8725833,-34.72655558,0.18,-,-,15,-,-,7000,2014
planet,OGLE-2008-BLG-355L b,269.7867083,-29.24052776,4.6,-,-,1.7,-,-,6800,2014
planet,OGLE-2009-BLG-151L b,268.5917,-29.0558,7.5,-,-,0.31,-,-,390,2013
planet,OGLE-2011-BLG-0173L b,269.3166667,-28.6838889,0.19,-,-,10,-,-,6200,2018
planet,OGLE-2011-BLG-0251L b,264.5590833,-27.13613889,0.96,-,-,3.86,-,-,4090,2012
planet,OGLE-2011-BLG-0265L b,269.45,-27.39444446,0.88,-,-,1.89,-,-,4380,2015
planet,OGLE-2011-BLG-0420L b,267.7333,-29.825,9.4,-,-,0.19,-,-,1990,2013
planet,OGLE-2012-BLG-0026L b,263.5792,-27.1428,0.11,-,-,3.82,-,-,4080,2012
planet,OGLE-2012-BLG-0026L c,263.5792,-27.1428,0.68,-,-,4.63,-,-,4080,2012
planet,OGLE-2012-BLG-0358L b,265.6958,-24.2611,1.85,-,-,0.87,-,-,1760,2013
planet,OGLE-2012-BLG-0406L b,268.325,-30.4711,2.73,-,-,3.45,-,-,4970,2013
planet,OGLE-2012-BLG-0563L b,271.4905,-27.71200002,0.39,-,-,0.74,-,-,1300,2015
planet,OGLE-2012-BLG-0724L b,268.9666667,-29.81861113,0.47,-,-,1.6,-,-,6700,2016
planet,OGLE-2012-BLG-0838 b,273.0041667,-25.71166669,0.25,-,-,4.2,-,-,6620,2019
planet,OGLE-2012-BLG-0950L b,272.01925,-29.73158336,0.11,-,-,2.7,-,-,3000,2016
planet,OGLE-2012-BLG-1323,270.077125,-28.58380557,0.0072,-,-,-,-,-,-,2018
planet,OGLE-2013-BLG-0102L b,268.0295,-31.69058335,13.6,-,-,0.8,-,-,3020,2014
planet,OGLE-2013-BLG-0132L b,269.764625,-28.42102779,0.29,-,-,3.6,-,-,3900,2017
planet,OGLE-2013-BLG-0341L b,268.0291667,-29.84611114,0.005222918,-,-,0.702,-,-,911,2014
planet,OGLE-2013-BLG-0578L b,269.999375,-29.73525002,34,-,-,1.16,-,-,1160,2013
planet,OGLE-2013-BLG-0911L b,268.8833333,-29.2538889,10.08,-,-,10.8,-,-,3220,2019
planet,OGLE-2013-BLG-1721L b,268.1265417,-30.29269446,0.64,-,-,2.6,-,-,6300,2017
planet,OGLE-2013-BLG-1761L b,268.4083333,-28.89527781,2.8,-,-,1.8,-,-,6900,2017
planet,OGLE-2014-BLG-0124L b,270.6208333,-28.39638891,0.64,-,-,3.48,-,-,3600,2014
planet,OGLE-2014-BLG-0257L b,270.45,-28.26194446,36,-,-,0.61,-,-,1250,2016
planet,OGLE-2014-BLG-0319 b,266.9625,-33.93500002,0.57,-,-,3.49,-,-,7730,2022
planet,OGLE-2014-BLG-0676L b,268.1041667,-30.54833336,3.68,-,-,4.53,-,-,2670,2016
planet,OGLE-2014-BLG-1112L b,272.1512917,-28.66580558,31.7,-,-,9.63,-,-,4840,2017
planet,OGLE-2014-BLG-1186L b,265.5,-34.28833334,0.142,-,-,-,-,-,1700,2018
planet,OGLE-2014-BLG-1722L b,268.7541667,-31.46916668,0.174,-,-,1.9,-,-,6400,2018
planet,OGLE-2014-BLG-1722L c,268.7541667,-31.46916668,0.2633,-,-,2.5,-,-,6400,2018
planet,OGLE-2014-BLG-1760L b,269.4083333,-28.96305559,0.573,-,-,1.75,-,-,6060,2016
planet,OGLE-2015-BLG-0051L b,269.6625417,-28.03169446,0.72,-,-,0.73,-,-,8200,2016
planet,OGLE-2015-BLG-0954L b,270.1833333,-28.66083336,4.4,-,-,1.2,-,-,600,2016
planet,OGLE-2015-BLG-0966L b,268.7541667,-29.04722223,0.066,-,-,2.4,-,-,2900,2015
planet,OGLE-2015-BLG-1319L b,269.4416667,-32.47222224,45,-,-,0.245,-,-,5000,2016
planet,OGLE-2015-BLG-1649 b,271.2041667,-32.63305558,2.54,-,-,2.07,-,-,4230,2019
planet,OGLE-2015-BLG-1670L b,268.1587917,-28.55191668,0.0563,-,-,3.2,-,-,6700,2018
